packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3071,2026-04-18T10:19:26.638,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,FIN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [FIN|ACK]
3072,2026-04-18T10:19:26.719,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [SYN|ACK]
3073,2026-04-18T10:19:26.784,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3074,2026-04-18T10:19:26.839,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3075,2026-04-18T10:19:26.892,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [SYN|ACK]
3076,2026-04-18T10:19:26.944,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3077,2026-04-18T10:19:26.995,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3078,2026-04-18T10:19:27.059,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3079,2026-04-18T10:19:27.138,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3080,2026-04-18T10:19:27.207,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3081,2026-04-18T10:19:27.264,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,126,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3082,2026-04-18T10:19:27.315,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3083,2026-04-18T10:19:27.372,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3084,2026-04-18T10:19:27.445,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
